sector,snapshots,with_filing,median_age_days,frac_fresh_183,frac_fresh_365,frac_t1,frac_t2,frac_t3,frac_p12,frac_p36
(none),717,25,44.0,0.0349,0.0349,0.0307,0.0307,0.0307,0.7936,0.5049
Basic Materials,30026,28935,48.0,0.9396,0.9495,0.8762,0.8014,0.7287,0.9104,0.7799
Communication Services,27100,26037,49.0,0.9332,0.9412,0.8338,0.7268,0.6319,0.8789,0.707
Consumer Cyclical,67359,65599,49.0,0.9518,0.9583,0.8818,0.8012,0.7249,0.9054,0.7688
Consumer Defensive,26562,25861,48.0,0.9515,0.959,0.8875,0.8105,0.7399,0.9098,0.7757
Energy,31936,30955,48.0,0.9579,0.9636,0.8862,0.8049,0.7258,0.9096,0.7746
Financial Services,7253,6922,49.0,0.9268,0.9305,0.8689,0.8024,0.7351,0.9206,0.8027
Healthcare,98255,95687,49.0,0.9588,0.9648,0.8759,0.782,0.6932,0.8998,0.7468
Industrials,79058,77066,48.0,0.9571,0.9631,0.8556,0.7604,0.6873,0.8806,0.7251
Real Estate,29827,29068,48.0,0.9634,0.9677,0.9078,0.8381,0.7696,0.9199,0.7945
Technology,104873,101976,49.0,0.9461,0.9542,0.8544,0.7558,0.6651,0.89,0.7319
Utilities,12765,12342,48.0,0.9572,0.9604,0.9036,0.8384,0.7788,0.9175,0.7947
