year,snapshots,with_filing,median_age_days,frac_fresh_183,frac_fresh_365,frac_t1,frac_t2,frac_t3,frac_p12,frac_p36
1997,6021,2331,48.0,0.3842,0.3866,0.2144,0.0767,0.0463,0.0,0.0
1998,24935,20578,49.0,0.8228,0.8249,0.3164,0.1464,0.061,0.1768,0.0
1999,24521,23402,53.0,0.9504,0.9537,0.7563,0.2911,0.1397,0.9279,0.0
2000,23996,23019,53.0,0.955,0.958,0.8601,0.6846,0.2746,0.9121,0.4486
2001,22007,21254,53.0,0.9601,0.9641,0.9098,0.8158,0.6553,0.9623,0.8232
2002,20193,19597,51.0,0.9632,0.9677,0.9333,0.879,0.7932,0.9759,0.8894
2003,19233,18742,51.0,0.957,0.9679,0.9397,0.9047,0.8513,0.9781,0.9359
2004,19032,18533,49.0,0.9472,0.9593,0.9127,0.8805,0.8454,0.9519,0.9125
2005,18908,18458,49.0,0.9442,0.9563,0.9017,0.8543,0.8246,0.9527,0.8861
2006,18618,18230,49.0,0.943,0.9574,0.903,0.8473,0.7992,0.9516,0.8698
2007,18297,17932,48.0,0.9416,0.9546,0.8947,0.8365,0.7803,0.9451,0.8652
2008,17716,17415,50.0,0.9506,0.9586,0.9083,0.8444,0.7857,0.961,0.8723
2009,16875,16648,49.0,0.9503,0.9624,0.9405,0.8878,0.8244,0.9838,0.9061
2010,16379,16185,49.0,0.9486,0.9574,0.9207,0.8973,0.8444,0.9651,0.928
2011,15849,15692,45.0,0.9508,0.9587,0.9185,0.8809,0.858,0.9653,0.9145
2012,15474,15328,48.0,0.952,0.9611,0.9224,0.8811,0.8432,0.963,0.9012
2013,15340,15199,48.0,0.9534,0.9622,0.9112,0.8716,0.832,0.9527,0.8903
2014,15654,15558,46.0,0.9605,0.9668,0.8938,0.8419,0.802,0.9311,0.8546
2015,15797,15736,46.0,0.9656,0.9728,0.9091,0.8378,0.7883,0.9427,0.8371
2016,15324,15291,46.0,0.974,0.9815,0.9356,0.8726,0.8012,0.9614,0.8552
2017,15069,15030,47.0,0.9756,0.9822,0.9314,0.8837,0.8222,0.9501,0.8727
2018,15040,15016,43.0,0.9789,0.9844,0.9253,0.8735,0.827,0.941,0.8648
2019,14951,14930,46.0,0.9798,0.9845,0.9278,0.8708,0.8217,0.9484,0.8557
2020,15193,15165,48.0,0.9772,0.9836,0.9138,0.8613,0.8066,0.9344,0.8476
2021,17659,17636,43.0,0.9843,0.9873,0.8032,0.7464,0.7021,0.8217,0.7334
2022,18415,18399,47.0,0.9952,0.9974,0.894,0.7324,0.6791,0.9149,0.6942
2023,17019,17006,43.0,0.9947,0.9982,0.9733,0.8715,0.7453,0.9743,0.7942
2024,15729,15716,46.0,0.9931,0.9982,0.9706,0.9385,0.855,0.9667,0.9029
2025,15093,15072,44.0,0.9946,0.9971,0.9477,0.9138,0.8821,0.947,0.8932
2026,11394,11375,55.0,0.9951,0.9971,0.919,0.8726,0.8407,0.9218,0.8511
