year,rows,median_lag_days,p95_lag_days,frac_lag_gt_35d
1998,158061,7609.0,9762.0,1.0
1999,1793806,7365.0,9366.0,1.0
2000,1768550,6970.0,8931.0,1.0
2001,1645119,6603.0,8584.0,1.0
2002,1561143,6079.0,8236.0,1.0
2003,1561701,5714.0,7917.0,1.0
2004,1543080,5347.0,7571.0,1.0
2005,1538949,4979.0,7223.0,1.0
2006,1522399,4614.0,6866.0,1.0
2007,1500657,4250.0,6517.0,1.0
2008,1483214,3885.0,6181.0,1.0
2009,1415566,3519.0,5830.0,1.0
2010,1381080,3153.0,5475.0,1.0
2011,1352546,2793.0,5128.0,1.0
2012,1309434,2428.0,4778.0,1.0
2013,1302926,2064.0,4436.0,1.0
2014,1325383,1701.0,4077.0,1.0
2015,1338531,1337.0,3721.0,1.0
2016,1301212,973.0,3377.0,1.0
2017,1271616,609.0,2968.0,1.0
2018,1275797,251.0,2615.0,0.8403
2019,1286006,2.0,2287.0,0.4807
2020,1311536,0.0,1940.0,0.4405
2021,1485328,0.0,1608.0,0.3891
2022,1559428,0.0,1284.0,0.3518
2023,1457344,0.0,945.0,0.2996
2024,1391956,0.0,606.0,0.2253
2025,1358782,0.0,275.0,0.1528
2026,712915,0.0,31.0,0.0465
