family,feature,groups,frac_groups_differ,median_rel_range
technical,ret_1m,501567,0.9969,3.7635
technical,ret_6m,479011,0.9969,1.4814
technical,vol_12m,463557,0.9969,0.0521
technical,amihud_12m,508339,0.9968,0.1038
technical,vol_36m,386968,0.9967,0.0178
technical,mom_12_2,453016,0.9951,0.7068
valuation,ebitda_to_ev,449775,0.9944,0.2795
valuation,ebit_to_ev,453687,0.994,0.3023
solvency,altman_z,410079,0.9938,0.163
valuation,earnings_yield,462208,0.9937,0.3742
valuation,fcf_yield,459045,0.9934,0.4327
valuation,ocf_yield,459077,0.9934,0.3666
meta,fundamentals_age_days,500559,0.9922,1.0
solvency,marketcap_to_liabilities,499143,0.9922,0.3248
technical,log_marketcap,499645,0.9922,0.0157
valuation,book_to_market,499476,0.9922,0.3186
valuation,ncav_to_marketcap,460849,0.9922,0.3687
valuation,tangible_book_to_market,499451,0.9922,0.3141
valuation,ev_to_marketcap,499484,0.991,0.0677
technical,dist_52w_high,515731,0.9821,0.9565
technical,dollar_volume_3m,515731,0.9612,0.2352
valuation,sales_yield,462314,0.9491,0.3029
valuation,net_payout_yield,458404,0.9046,0.4018
quality,revenue_growth_variability_3y,317599,0.75,0.2763
quality,roa_variability_3y,333327,0.7491,0.1802
growth,revenue_growth_3y,324094,0.745,0.174
quality,noa_to_assets,454606,0.7428,0.0714
growth,asset_growth_1y,454638,0.7427,0.4267
profitability,roe,425068,0.7419,0.1763
quality,sgai,384125,0.7419,0.045
growth,roa_delta_1y,415706,0.7415,0.5533
profitability,net_margin,439829,0.7407,0.1536
profitability,operating_margin,439829,0.7407,0.1268
growth,revenue_growth_1y,398022,0.7404,0.358
quality,sgi,398022,0.7404,0.0423
quality,dsri,375370,0.7394,0.1169
solvency,equity_to_liabilities,500054,0.7392,0.0905
solvency,liabilities_to_assets,500297,0.739,0.0404
solvency,log_assets,500340,0.7389,0.0019
profitability,fcf_margin,436397,0.7387,0.2803
solvency,ebit_to_assets,462799,0.7385,0.1495
profitability,roa,462799,0.7384,0.1707
quality,lvgi,417854,0.7384,0.0845
profitability,ebit_to_invcap,438784,0.7376,0.1737
solvency,net_debt_to_ebitda,318436,0.7368,0.1805
profitability,roc_greenblatt,402976,0.7364,0.1763
quality,accruals_to_assets,458743,0.7363,0.319
solvency,cash_to_assets,500340,0.736,0.2225
quality,aqi,408292,0.7359,0.0749
quality,beneish_m,320575,0.7359,0.0793
solvency,wc_to_assets,460230,0.7358,0.1104
solvency,current_ratio,460170,0.7357,0.0992
solvency,ffo_to_liabilities,459423,0.7357,0.1953
solvency,quick_ratio,460163,0.7357,0.1144
profitability,cfo_to_assets,459645,0.7356,0.1844
solvency,cl_to_ca,460197,0.7356,0.0996
solvency,retearn_to_assets,480762,0.7344,0.0784
solvency,zmijewski,426337,0.7344,0.0986
quality,depi,400064,0.7339,0.0538
solvency,interest_coverage,368775,0.7337,0.182
growth,epsdil_growth_1y,232788,0.7303,0.5
solvency,altman_z_dd,410732,0.7303,0.1103
quality,ext_financing_to_assets,459485,0.723,0.383
growth,asset_turnover_delta_1y,415855,0.7216,0.5869
growth,gross_margin_delta_2y,355846,0.7129,0.3478
quality,capex_to_assets,459916,0.7101,0.1371
profitability,gp_to_assets,462896,0.7097,0.0553
profitability,asset_turnover,462905,0.7094,0.046
growth,gross_margin_delta_1y,394872,0.7063,0.508
quality,gmi,381917,0.7052,0.0252
profitability,gross_margin,439924,0.6975,0.017
growth,share_count_growth_1y,454068,0.687,0.2664
solvency,ni_change_scaled,415917,0.653,0.5193
solvency,debt_to_equity,457055,0.63,0.0956
quality,piotroski_f,361158,0.4415,0.25
valuation,dividend_yield,458454,0.3316,0.21
quality,rnd_to_assets,500340,0.3032,0.0799
solvency,two_year_loss,439343,0.0355,1.0
meta,negative_ebitda,458934,0.0346,1.0
meta,negative_equity,500388,0.0165,1.0
meta,negative_ev,499484,0.0156,1.0
solvency,liab_gt_assets,500318,0.014,1.0
meta,has_filing_183d,515731,0.0095,1.0
meta,has_filing_365d,515731,0.0063,1.0
