horizon,label,groups,frac_flip
1y,cagr_ge_0,496839,0.2888
1y,cagr_ge_5,496839,0.2923
1y,cagr_ge_8,496839,0.2906
1y,cagr_ge_10,496839,0.2893
1y,beat_spy,496839,0.2609
2y,cagr_ge_0,481516,0.2042
2y,cagr_ge_5,481516,0.2096
2y,cagr_ge_8,481516,0.211
2y,cagr_ge_10,481516,0.2105
2y,beat_spy,481516,0.186
3y,cagr_ge_0,465205,0.1731
3y,cagr_ge_5,465205,0.1802
3y,cagr_ge_8,465205,0.1822
3y,cagr_ge_10,465205,0.1815
3y,beat_spy,465205,0.1542
5y,cagr_ge_0,429020,0.1426
5y,cagr_ge_5,429020,0.1533
5y,cagr_ge_8,429020,0.1512
5y,cagr_ge_10,429020,0.1453
5y,beat_spy,429020,0.124
