sector,field,with_filing,null_rate
(none),assets,25,0.0
Basic Materials,assets,28935,0.0005
Communication Services,assets,26037,0.0004
Consumer Cyclical,assets,65599,0.0007
Consumer Defensive,assets,25861,0.0003
Energy,assets,30955,0.0003
Financial Services,assets,6922,0.0006
Healthcare,assets,95687,0.0003
Industrials,assets,77066,0.0004
Real Estate,assets,29068,0.0001
Technology,assets,101976,0.0003
Utilities,assets,12342,0.0003
(none),assetsc,25,0.88
Basic Materials,assetsc,28935,0.008
Communication Services,assetsc,26037,0.031
Consumer Cyclical,assetsc,65599,0.0548
Consumer Defensive,assetsc,25861,0.0027
Energy,assetsc,30955,0.019
Financial Services,assetsc,6922,0.5498
Healthcare,assetsc,95687,0.0043
Industrials,assetsc,77066,0.0492
Real Estate,assetsc,29068,0.8437
Technology,assetsc,101976,0.0072
Utilities,assetsc,12342,0.0185
(none),capex,25,0.0
Basic Materials,capex,28935,0.0236
Communication Services,capex,26037,0.0282
Consumer Cyclical,capex,65599,0.019
Consumer Defensive,capex,25861,0.0205
Energy,capex,30955,0.0311
Financial Services,capex,6922,0.0149
Healthcare,capex,95687,0.0268
Industrials,capex,77066,0.025
Real Estate,capex,29068,0.0192
Technology,capex,101976,0.0249
Utilities,capex,12342,0.0121
(none),cashneq,25,0.0
Basic Materials,cashneq,28935,0.0004
Communication Services,cashneq,26037,0.0003
Consumer Cyclical,cashneq,65599,0.0005
Consumer Defensive,cashneq,25861,0.0002
Energy,cashneq,30955,0.0003
Financial Services,cashneq,6922,0.0006
Healthcare,cashneq,95687,0.0003
Industrials,cashneq,77066,0.0003
Real Estate,cashneq,29068,0.0
Technology,cashneq,101976,0.0002
Utilities,cashneq,12342,0.0002
(none),cor,25,0.0
Basic Materials,cor,28935,0.0174
Communication Services,cor,26037,0.0203
Consumer Cyclical,cor,65599,0.0133
Consumer Defensive,cor,25861,0.0117
Energy,cor,30955,0.0169
Financial Services,cor,6922,0.0092
Healthcare,cor,95687,0.0195
Industrials,cor,77066,0.017
Real Estate,cor,29068,0.0144
Technology,cor,101976,0.0182
Utilities,cor,12342,0.0083
(none),debt,25,0.0
Basic Materials,debt,28935,0.0004
Communication Services,debt,26037,0.0002
Consumer Cyclical,debt,65599,0.0007
Consumer Defensive,debt,25861,0.0002
Energy,debt,30955,0.0002
Financial Services,debt,6922,0.0
Healthcare,debt,95687,0.0002
Industrials,debt,77066,0.0003
Real Estate,debt,29068,0.0
Technology,debt,101976,0.0002
Utilities,debt,12342,0.0002
(none),depamor,25,0.0
Basic Materials,depamor,28935,0.0241
Communication Services,depamor,26037,0.028
Consumer Cyclical,depamor,65599,0.019
Consumer Defensive,depamor,25861,0.0206
Energy,depamor,30955,0.0311
Financial Services,depamor,6922,0.015
Healthcare,depamor,95687,0.0271
Industrials,depamor,77066,0.0251
Real Estate,depamor,29068,0.0194
Technology,depamor,101976,0.0258
Utilities,depamor,12342,0.0121
(none),ebit,25,0.0
Basic Materials,ebit,28935,0.0175
Communication Services,ebit,26037,0.0204
Consumer Cyclical,ebit,65599,0.0134
Consumer Defensive,ebit,25861,0.0117
Energy,ebit,30955,0.017
Financial Services,ebit,6922,0.0092
Healthcare,ebit,95687,0.0195
Industrials,ebit,77066,0.017
Real Estate,ebit,29068,0.0145
Technology,ebit,101976,0.0184
Utilities,ebit,12342,0.0083
(none),ebitda,25,0.0
Basic Materials,ebitda,28935,0.0247
Communication Services,ebitda,26037,0.0285
Consumer Cyclical,ebitda,65599,0.0198
Consumer Defensive,ebitda,25861,0.0213
Energy,ebitda,30955,0.0316
Financial Services,ebitda,6922,0.0153
Healthcare,ebitda,95687,0.0277
Industrials,ebitda,77066,0.0259
Real Estate,ebitda,29068,0.0203
Technology,ebitda,101976,0.0265
Utilities,ebitda,12342,0.013
(none),equity,25,0.0
Basic Materials,equity,28935,0.0004
Communication Services,equity,26037,0.0004
Consumer Cyclical,equity,65599,0.0005
Consumer Defensive,equity,25861,0.0002
Energy,equity,30955,0.0003
Financial Services,equity,6922,0.0
Healthcare,equity,95687,0.0002
Industrials,equity,77066,0.0004
Real Estate,equity,29068,0.0001
Technology,equity,101976,0.0002
Utilities,equity,12342,0.0019
(none),fcf,25,0.0
Basic Materials,fcf,28935,0.0247
Communication Services,fcf,26037,0.0282
Consumer Cyclical,fcf,65599,0.0193
Consumer Defensive,fcf,25861,0.0208
Energy,fcf,30955,0.0312
Financial Services,fcf,6922,0.015
Healthcare,fcf,95687,0.0271
Industrials,fcf,77066,0.0257
Real Estate,fcf,29068,0.0194
Technology,fcf,101976,0.0252
Utilities,fcf,12342,0.0124
(none),gp,25,0.0
Basic Materials,gp,28935,0.0174
Communication Services,gp,26037,0.0203
Consumer Cyclical,gp,65599,0.0133
Consumer Defensive,gp,25861,0.0117
Energy,gp,30955,0.0169
Financial Services,gp,6922,0.0092
Healthcare,gp,95687,0.0195
Industrials,gp,77066,0.017
Real Estate,gp,29068,0.0144
Technology,gp,101976,0.0182
Utilities,gp,12342,0.0083
(none),intangibles,25,0.0
Basic Materials,intangibles,28935,0.0004
Communication Services,intangibles,26037,0.0003
Consumer Cyclical,intangibles,65599,0.0005
Consumer Defensive,intangibles,25861,0.0003
Energy,intangibles,30955,0.0003
Financial Services,intangibles,6922,0.0004
Healthcare,intangibles,95687,0.0003
Industrials,intangibles,77066,0.0004
Real Estate,intangibles,29068,0.0001
Technology,intangibles,101976,0.0003
Utilities,intangibles,12342,0.0003
(none),intexp,25,0.0
Basic Materials,intexp,28935,0.0175
Communication Services,intexp,26037,0.0203
Consumer Cyclical,intexp,65599,0.0133
Consumer Defensive,intexp,25861,0.0117
Energy,intexp,30955,0.017
Financial Services,intexp,6922,0.0092
Healthcare,intexp,95687,0.0194
Industrials,intexp,77066,0.017
Real Estate,intexp,29068,0.0144
Technology,intexp,101976,0.0183
Utilities,intexp,12342,0.0083
(none),inventory,25,0.0
Basic Materials,inventory,28935,0.0004
Communication Services,inventory,26037,0.0003
Consumer Cyclical,inventory,65599,0.0005
Consumer Defensive,inventory,25861,0.0002
Energy,inventory,30955,0.0003
Financial Services,inventory,6922,0.0004
Healthcare,inventory,95687,0.0003
Industrials,inventory,77066,0.0004
Real Estate,inventory,29068,0.0
Technology,inventory,101976,0.0002
Utilities,inventory,12342,0.0003
(none),liabilities,25,0.0
Basic Materials,liabilities,28935,0.0004
Communication Services,liabilities,26037,0.0004
Consumer Cyclical,liabilities,65599,0.0007
Consumer Defensive,liabilities,25861,0.0003
Energy,liabilities,30955,0.0004
Financial Services,liabilities,6922,0.0001
Healthcare,liabilities,95687,0.0002
