year,field,with_filing,null_rate
1997,assets,2331,0.0043
1998,assets,20578,0.0014
1999,assets,23402,0.0008
2000,assets,23019,0.0006
2001,assets,21254,0.0007
2002,assets,19597,0.0008
2003,assets,18742,0.0007
2004,assets,18533,0.0011
2005,assets,18458,0.0007
2006,assets,18230,0.0008
2007,assets,17932,0.0007
2008,assets,17415,0.0002
2009,assets,16648,0.0001
2010,assets,16185,0.0003
2011,assets,15692,0.0001
2012,assets,15328,0.0
2013,assets,15199,0.0003
2014,assets,15558,0.0001
2015,assets,15736,0.0001
2016,assets,15291,0.0
2017,assets,15030,0.0001
2018,assets,15016,0.0
2019,assets,14930,0.0
2020,assets,15165,0.0001
2021,assets,17636,0.0002
2022,assets,18399,0.0
2023,assets,17006,0.0
2024,assets,15716,0.0
2025,assets,15072,0.0
2026,assets,11375,0.0
1997,assetsc,2331,0.0871
1998,assetsc,20578,0.0733
1999,assetsc,23402,0.0705
2000,assetsc,23019,0.0666
2001,assetsc,21254,0.0662
2002,assetsc,19597,0.0663
2003,assetsc,18742,0.0666
2004,assetsc,18533,0.0678
2005,assetsc,18458,0.0696
2006,assetsc,18230,0.069
2007,assetsc,17932,0.0654
2008,assetsc,17415,0.0633
2009,assetsc,16648,0.0639
2010,assetsc,16185,0.0673
2011,assetsc,15692,0.0714
2012,assetsc,15328,0.0749
2013,assetsc,15199,0.0823
2014,assetsc,15558,0.0873
2015,assetsc,15736,0.0911
2016,assetsc,15291,0.092
2017,assetsc,15030,0.0945
2018,assetsc,15016,0.0951
2019,assetsc,14930,0.0943
2020,assetsc,15165,0.1013
2021,assetsc,17636,0.1135
2022,assetsc,18399,0.0784
2023,assetsc,17006,0.0745
2024,assetsc,15716,0.0802
2025,assetsc,15072,0.0857
2026,assetsc,11375,0.0841
1997,capex,2331,0.0446
1998,capex,20578,0.1497
1999,capex,23402,0.0297
2000,capex,23019,0.028
2001,capex,21254,0.0139
2002,capex,19597,0.0133
2003,capex,18742,0.0124
2004,capex,18533,0.0181
2005,capex,18458,0.0206
2006,capex,18230,0.0175
2007,capex,17932,0.0176
2008,capex,17415,0.0118
2009,capex,16648,0.009
2010,capex,16185,0.0144
2011,capex,15692,0.0134
2012,capex,15328,0.0149
2013,capex,15199,0.0195
2014,capex,15558,0.0233
2015,capex,15736,0.0188
2016,capex,15291,0.0158
2017,capex,15030,0.0188
2018,capex,15016,0.0223
2019,capex,14930,0.0177
2020,capex,15165,0.0208
2021,capex,17636,0.0432
2022,capex,18399,0.0245
2023,capex,17006,0.0078
2024,capex,15716,0.0092
2025,capex,15072,0.0144
2026,capex,11375,0.018
1997,cashneq,2331,0.0026
1998,cashneq,20578,0.0009
1999,cashneq,23402,0.0005
2000,cashneq,23019,0.0005
2001,cashneq,21254,0.0005
2002,cashneq,19597,0.0007
2003,cashneq,18742,0.0006
2004,cashneq,18533,0.0009
2005,cashneq,18458,0.0005
2006,cashneq,18230,0.0004
2007,cashneq,17932,0.0007
2008,cashneq,17415,0.0002
2009,cashneq,16648,0.0001
2010,cashneq,16185,0.0001
2011,cashneq,15692,0.0001
2012,cashneq,15328,0.0
2013,cashneq,15199,0.0003
2014,cashneq,15558,0.0001
2015,cashneq,15736,0.0001
2016,cashneq,15291,0.0
2017,cashneq,15030,0.0
2018,cashneq,15016,0.0
2019,cashneq,14930,0.0
2020,cashneq,15165,0.0001
2021,cashneq,17636,0.0002
2022,cashneq,18399,0.0
2023,cashneq,17006,0.0
2024,cashneq,15716,0.0
2025,cashneq,15072,0.0
2026,cashneq,11375,0.0
1997,cor,2331,0.0193
1998,cor,20578,0.1028
1999,cor,23402,0.0194
2000,cor,23019,0.0198
2001,cor,21254,0.0079
2002,cor,19597,0.009
2003,cor,18742,0.0091
2004,cor,18533,0.0142
2005,cor,18458,0.0154
2006,cor,18230,0.0129
2007,cor,17932,0.0136
2008,cor,17415,0.009
2009,cor,16648,0.0076
2010,cor,16185,0.0112
2011,cor,15692,0.0099
2012,cor,15328,0.0111
2013,cor,15199,0.0137
2014,cor,15558,0.0173
2015,cor,15736,0.0128
2016,cor,15291,0.0094
2017,cor,15030,0.0123
2018,cor,15016,0.0158
2019,cor,14930,0.0121
2020,cor,15165,0.0135
2021,cor,17636,0.0318
2022,cor,18399,0.0155
2023,cor,17006,0.0051
2024,cor,15716,0.0051
2025,cor,15072,0.0092
2026,cor,11375,0.0143
1997,debt,2331,0.0021
1998,debt,20578,0.0007
1999,debt,23402,0.0004
2000,debt,23019,0.0005
2001,debt,21254,0.0005
2002,debt,19597,0.0006
2003,debt,18742,0.0006
2004,debt,18533,0.0011
2005,debt,18458,0.0006
2006,debt,18230,0.0005
2007,debt,17932,0.0005
2008,debt,17415,0.0002
2009,debt,16648,0.0001
2010,debt,16185,0.0001
2011,debt,15692,0.0001
2012,debt,15328,0.0
2013,debt,15199,0.0003
2014,debt,15558,0.0001
2015,debt,15736,0.0001
2016,debt,15291,0.0
2017,debt,15030,0.0
2018,debt,15016,0.0
2019,debt,14930,0.0
2020,debt,15165,0.0001
2021,debt,17636,0.0002
2022,debt,18399,0.0
2023,debt,17006,0.0
2024,debt,15716,0.0
2025,debt,15072,0.0
2026,debt,11375,0.0
1997,depamor,2331,0.0459
1998,depamor,20578,0.15
1999,depamor,23402,0.0301
2000,depamor,23019,0.0281
2001,depamor,21254,0.014
2002,depamor,19597,0.0134
2003,depamor,18742,0.0124
2004,depamor,18533,0.018
2005,depamor,18458,0.0206
2006,depamor,18230,0.0176
2007,depamor,17932,0.0178
2008,depamor,17415,0.0121
2009,depamor,16648,0.0092
2010,depamor,16185,0.0146
2011,depamor,15692,0.0138
2012,depamor,15328,0.0151
2013,depamor,15199,0.0197
2014,depamor,15558,0.0235
2015,depamor,15736,0.0195
2016,depamor,15291,0.0167
2017,depamor,15030,0.019
2018,depamor,15016,0.0228
2019,depamor,14930,0.0181
2020,depamor,15165,0.0214
2021,depamor,17636,0.0438
2022,depamor,18399,0.0249
2023,depamor,17006,0.0082
2024,depamor,15716,0.0095
2025,depamor,15072,0.0144
2026,depamor,11375,0.0181
1997,ebit,2331,0.0202
1998,ebit,20578,0.1037
1999,ebit,23402,0.0197
2000,ebit,23019,0.0199
2001,ebit,21254,0.0079
2002,ebit,19597,0.0091
2003,ebit,18742,0.0091
2004,ebit,18533,0.0144
2005,ebit,18458,0.0154
2006,ebit,18230,0.0129
2007,ebit,17932,0.0137
2008,ebit,17415,0.009
2009,ebit,16648,0.0076
2010,ebit,16185,0.0112
2011,ebit,15692,0.01
2012,ebit,15328,0.0111
2013,ebit,15199,0.0137
2014,ebit,15558,0.0173
2015,ebit,15736,0.0128
2016,ebit,15291,0.0094
2017,ebit,15030,0.0123
2018,ebit,15016,0.0158
2019,ebit,14930,0.0121
2020,ebit,15165,0.0135
2021,ebit,17636,0.0318
2022,ebit,18399,0.0155
2023,ebit,17006,0.0051
2024,ebit,15716,0.0051
2025,ebit,15072,0.0092
2026,ebit,11375,0.0143
1997,ebitda,2331,0.0489
1998,ebitda,20578,0.1567
1999,ebitda,23402,0.0314
2000,ebitda,23019,0.0288
2001,ebitda,21254,0.0144
2002,ebitda,19597,0.014
2003,ebitda,18742,0.0128
2004,ebitda,18533,0.0188
2005,ebitda,18458,0.0213
2006,ebitda,18230,0.0184
2007,ebitda,17932,0.0185
2008,ebitda,17415,0.0124
2009,ebitda,16648,0.0096
2010,ebitda,16185,0.015
2011,ebitda,15692,0.0144
2012,ebitda,15328,0.0153
2013,ebitda,15199,0.0198
2014,ebitda,15558,0.0237
2015,ebitda,15736,0.0196
2016,ebitda,15291,0.0167
2017,ebitda,15030,0.0191
2018,ebitda,15016,0.0228
2019,ebitda,14930,0.0181
2020,ebitda,15165,0.0216
2021,ebitda,17636,0.0439
2022,ebitda,18399,0.026
2023,ebitda,17006,0.0082
2024,ebitda,15716,0.0095
2025,ebitda,15072,0.0147
2026,ebitda,11375,0.0183
1997,equity,2331,0.003
1998,equity,20578,0.0009
1999,equity,23402,0.0009
2000,equity,23019,0.0007
