year,rows,unit_scale,median_abs_err,p90_abs_err,frac_within_1pct,frac_within_5pct
1998,4321,1000000.0,0.0002,0.0019,0.9674,0.9935
1999,48274,1000000.0,0.0001,0.0021,0.9776,0.9973
2000,47282,1000000.0,0.0001,0.002,0.983,0.9996
2001,42610,1000000.0,0.0001,0.0032,0.956,0.9937
2002,38893,1000000.0,0.0001,0.003,0.9641,0.9952
2003,36870,1000000.0,0.0001,0.0018,0.982,0.9972
2004,36167,1000000.0,0.0,0.0011,0.9891,0.9979
2005,37181,1000000.0,0.0,0.0011,0.9884,0.9992
2006,36624,1000000.0,0.0,0.0009,0.9877,0.9995
2007,37413,1000000.0,0.0,0.0007,0.9888,0.9946
2008,38032,1000000.0,0.0001,0.0012,0.9886,0.9987
2009,36960,1000000.0,0.0001,0.0017,0.9841,0.9968
2010,36762,1000000.0,0.0001,0.0011,0.9857,0.9914
2011,36751,1000000.0,0.0,0.0013,0.9784,0.9925
2012,35796,1000000.0,0.0,0.0014,0.9813,0.9958
2013,36546,1000000.0,0.0,0.0011,0.9752,0.9902
2014,38687,1000000.0,0.0,0.001,0.9807,0.9937
2015,40068,1000000.0,0.0,0.0009,0.983,0.995
2016,39130,1000000.0,0.0,0.0007,0.99,0.9972
2017,37860,1000000.0,0.0,0.0007,0.9887,0.9973
2018,37190,1000000.0,0.0,0.0008,0.9765,0.9862
2019,36864,1000000.0,0.0,0.0009,0.99,0.9956
2020,36578,1000000.0,0.0,0.0008,0.989,0.9949
2021,40758,1000000.0,0.0,0.0003,0.9964,0.999
2022,42635,1000000.0,0.0,0.0006,0.9959,1.0
2023,41016,1000000.0,0.0,0.0011,0.9824,0.9994
2024,38835,1000000.0,0.0,0.0014,0.9766,0.9967
2025,40290,1000000.0,0.0,0.0015,0.9887,0.9992
2026,21560,1000000.0,0.0,0.0012,0.9848,0.9965
