year,discriminating_rows,frac_closer_to_arq
1998,836,0.8971
1999,22400,0.8608
2000,22953,0.8395
2001,21046,0.8651
2002,18940,0.8549
2003,16427,0.8572
2004,16504,0.8838
2005,16446,0.8712
2006,15306,0.8783
2007,15735,0.8817
2008,16210,0.8442
2009,15657,0.839
2010,14650,0.837
2011,15083,0.8339
2012,13852,0.8397
2013,13957,0.8517
2014,14359,0.8732
2015,15074,0.8434
2016,13529,0.8338
2017,12992,0.8785
2018,12581,0.8705
2019,11983,0.8601
2020,12531,0.8623
2021,13797,0.891
2022,14824,0.8633
2023,14014,0.8549
2024,14422,0.8576
2025,14722,0.8588
2026,7493,0.8677
