test_start,horizon,train_pool_rows,eligible_rows,purged_rows,frac_pool_purged,test_rows_1y_window
1999-01-01,1y,92868,0,92868,1.0,24521
1999-01-01,2y,92868,0,92868,1.0,24521
1999-01-01,3y,92868,0,92868,1.0,24521
1999-01-01,5y,92868,0,92868,1.0,24521
2000-01-01,1y,166431,88336,78095,0.4692,23996
2000-01-01,2y,166431,0,166431,1.0,23996
2000-01-01,3y,166431,0,166431,1.0,23996
2000-01-01,5y,166431,0,166431,1.0,23996
2001-01-01,1y,238419,161180,77239,0.324,22007
2001-01-01,2y,238419,88336,150083,0.6295,22007
2001-01-01,3y,238419,0,238419,1.0,22007
2001-01-01,5y,238419,0,238419,1.0,22007
2002-01-01,1y,304440,233286,71154,0.2337,20193
2002-01-01,2y,304440,161180,143260,0.4706,20193
2002-01-01,3y,304440,88336,216104,0.7098,20193
2002-01-01,5y,304440,0,304440,1.0,20193
2003-01-01,1y,365019,300002,65017,0.1781,19233
2003-01-01,2y,365019,233286,131733,0.3609,19233
2003-01-01,3y,365019,161180,203839,0.5584,19233
2003-01-01,5y,365019,0,365019,1.0,19233
2004-01-01,1y,422718,361317,61401,0.1453,19032
2004-01-01,2y,422718,300002,122716,0.2903,19032
2004-01-01,3y,422718,233286,189432,0.4481,19032
2004-01-01,5y,422718,88336,334382,0.791,19032
2005-01-01,1y,479814,418535,61279,0.1277,18908
2005-01-01,2y,479814,361317,118497,0.247,18908
2005-01-01,3y,479814,300002,179812,0.3748,18908
2005-01-01,5y,479814,161180,318634,0.6641,18908
2006-01-01,1y,536538,475553,60985,0.1137,18618
2006-01-01,2y,536538,418535,118003,0.2199,18618
2006-01-01,3y,536538,361317,175221,0.3266,18618
2006-01-01,5y,536538,233286,303252,0.5652,18618
2007-01-01,1y,592392,532688,59704,0.1008,18297
2007-01-01,2y,592392,475553,116839,0.1972,18297
2007-01-01,3y,592392,418535,173857,0.2935,18297
2007-01-01,5y,592392,300002,292390,0.4936,18297
2008-01-01,1y,647283,588590,58693,0.0907,17716
2008-01-01,2y,647283,532688,114595,0.177,17716
2008-01-01,3y,647283,475553,171730,0.2653,17716
2008-01-01,5y,647283,361317,285966,0.4418,17716
2009-01-01,1y,700431,643233,57198,0.0817,16875
2009-01-01,2y,700431,588590,111841,0.1597,16875
2009-01-01,3y,700431,532688,167743,0.2395,16875
2009-01-01,5y,700431,418535,281896,0.4025,16875
2010-01-01,1y,751056,697637,53419,0.0711,16379
2010-01-01,2y,751056,643233,107823,0.1436,16379
2010-01-01,3y,751056,588590,162466,0.2163,16379
2010-01-01,5y,751056,475553,275503,0.3668,16379
2011-01-01,1y,800193,747480,52713,0.0659,15849
2011-01-01,2y,800193,697637,102556,0.1282,15849
2011-01-01,3y,800193,643233,156960,0.1962,15849
2011-01-01,5y,800193,532688,267505,0.3343,15849
2012-01-01,1y,847740,796587,51153,0.0603,15474
2012-01-01,2y,847740,747480,100260,0.1183,15474
2012-01-01,3y,847740,697637,150103,0.1771,15474
2012-01-01,5y,847740,588590,259150,0.3057,15474
2013-01-01,1y,894162,844755,49407,0.0553,15340
2013-01-01,2y,894162,796587,97575,0.1091,15340
2013-01-01,3y,894162,747480,146682,0.164,15340
2013-01-01,5y,894162,643233,250929,0.2806,15340
2014-01-01,1y,940182,890989,49193,0.0523,15654
2014-01-01,2y,940182,844755,95427,0.1015,15654
2014-01-01,3y,940182,796587,143595,0.1527,15654
2014-01-01,5y,940182,697637,242545,0.258,15654
2015-01-01,1y,987144,936680,50464,0.0511,15797
2015-01-01,2y,987144,890989,96155,0.0974,15797
2015-01-01,3y,987144,844755,142389,0.1442,15797
2015-01-01,5y,987144,747480,239664,0.2428,15797
2016-01-01,1y,1034535,983393,51142,0.0494,15324
2016-01-01,2y,1034535,936680,97855,0.0946,15324
2016-01-01,3y,1034535,890989,143546,0.1388,15324
2016-01-01,5y,1034535,796587,237948,0.23,15324
2017-01-01,1y,1080507,1031007,49500,0.0458,15069
2017-01-01,2y,1080507,983393,97114,0.0899,15069
2017-01-01,3y,1080507,936680,143827,0.1331,15069
2017-01-01,5y,1080507,844755,235752,0.2182,15069
2018-01-01,1y,1125714,1077214,48500,0.0431,15040
2018-01-01,2y,1125714,1031007,94707,0.0841,15040
2018-01-01,3y,1125714,983393,142321,0.1264,15040
2018-01-01,5y,1125714,890989,234725,0.2085,15040
2019-01-01,1y,1170834,1122622,48212,0.0412,14951
2019-01-01,2y,1170834,1077214,93620,0.08,14951
2019-01-01,3y,1170834,1031007,139827,0.1194,14951
2019-01-01,5y,1170834,936680,234154,0.2,14951
2020-01-01,1y,1215687,1166848,48839,0.0402,15193
2020-01-01,2y,1215687,1122622,93065,0.0766,15193
2020-01-01,3y,1215687,1077214,138473,0.1139,15193
2020-01-01,5y,1215687,983393,232294,0.1911,15193
2021-01-01,1y,1261266,1212247,49019,0.0389,17659
2021-01-01,2y,1261266,1166848,94418,0.0749,17659
2021-01-01,3y,1261266,1122622,138644,0.1099,17659
2021-01-01,5y,1261266,1031007,230259,0.1826,17659
2022-01-01,1y,1314243,1257437,56806,0.0432,18415
2022-01-01,2y,1314243,1212247,101996,0.0776,18415
2022-01-01,3y,1314243,1166848,147395,0.1122,18415
2022-01-01,5y,1314243,1077214,237029,0.1804,18415
2023-01-01,1y,1369488,1309938,59550,0.0435,17019
2023-01-01,2y,1369488,1257437,112051,0.0818,17019
2023-01-01,3y,1369488,1212247,157241,0.1148,17019
2023-01-01,5y,1369488,1122622,246866,0.1803,17019
2024-01-01,1y,1420545,1365225,55320,0.0389,15729
2024-01-01,2y,1420545,1309938,110607,0.0779,15729
2024-01-01,3y,1420545,1257437,163108,0.1148,15729
2024-01-01,5y,1420545,1166848,253697,0.1786,15729
2025-01-01,1y,1467732,1416709,51023,0.0348,15093
