year,staleness_bucket,snapshots,share_of_year
1997,no filing,3690,0.6129
1997,0-93d,2229,0.3702
1997,94-183d,84,0.014
1997,184-365d,15,0.0025
1997,>365d,3,0.0005
1998,no filing,4357,0.1747
1998,0-93d,19098,0.7659
1998,94-183d,1419,0.0569
1998,184-365d,53,0.0021
1998,>365d,8,0.0003
1999,no filing,1119,0.0456
1999,0-93d,21095,0.8603
1999,94-183d,2209,0.0901
1999,184-365d,81,0.0033
1999,>365d,17,0.0007
2000,no filing,977,0.0407
2000,0-93d,20833,0.8682
2000,94-183d,2083,0.0868
2000,184-365d,72,0.003
2000,>365d,31,0.0013
2001,no filing,753,0.0342
2001,0-93d,18943,0.8608
2001,94-183d,2186,0.0993
2001,184-365d,89,0.004
2001,>365d,36,0.0016
2002,no filing,596,0.0295
2002,0-93d,17522,0.8677
2002,94-183d,1927,0.0954
2002,184-365d,92,0.0046
2002,>365d,56,0.0028
2003,no filing,491,0.0255
2003,0-93d,16486,0.8572
2003,94-183d,1920,0.0998
2003,184-365d,209,0.0109
2003,>365d,127,0.0066
2004,no filing,499,0.0262
2004,0-93d,16095,0.8457
2004,94-183d,1933,0.1016
2004,184-365d,230,0.0121
2004,>365d,275,0.0144
2005,no filing,450,0.0238
2005,0-93d,15955,0.8438
2005,94-183d,1898,0.1004
2005,184-365d,229,0.0121
2005,>365d,376,0.0199
2006,no filing,388,0.0208
2006,0-93d,15616,0.8388
2006,94-183d,1941,0.1043
2006,184-365d,268,0.0144
2006,>365d,405,0.0218
2007,no filing,365,0.0199
2007,0-93d,15584,0.8517
2007,94-183d,1645,0.0899
2007,184-365d,237,0.013
2007,>365d,466,0.0255
2008,no filing,301,0.017
2008,0-93d,15269,0.8619
2008,94-183d,1572,0.0887
2008,184-365d,141,0.008
2008,>365d,433,0.0244
2009,no filing,227,0.0135
2009,0-93d,14483,0.8583
2009,94-183d,1553,0.092
2009,184-365d,204,0.0121
2009,>365d,408,0.0242
2010,no filing,194,0.0118
2010,0-93d,14230,0.8688
2010,94-183d,1307,0.0798
2010,184-365d,144,0.0088
2010,>365d,504,0.0308
2011,no filing,157,0.0099
2011,0-93d,13727,0.8661
2011,94-183d,1342,0.0847
2011,184-365d,126,0.008
2011,>365d,497,0.0314
2012,no filing,146,0.0094
2012,0-93d,13391,0.8654
2012,94-183d,1340,0.0866
2012,184-365d,141,0.0091
2012,>365d,456,0.0295
2013,no filing,141,0.0092
2013,0-93d,13217,0.8616
2013,94-183d,1408,0.0918
2013,184-365d,135,0.0088
2013,>365d,439,0.0286
2014,no filing,96,0.0061
2014,0-93d,13750,0.8784
2014,94-183d,1286,0.0822
2014,184-365d,99,0.0063
2014,>365d,423,0.027
2015,no filing,61,0.0039
2015,0-93d,13854,0.877
2015,94-183d,1399,0.0886
2015,184-365d,114,0.0072
2015,>365d,369,0.0234
2016,no filing,33,0.0022
2016,0-93d,13614,0.8884
2016,94-183d,1312,0.0856
2016,184-365d,115,0.0075
2016,>365d,250,0.0163
2017,no filing,39,0.0026
2017,0-93d,13405,0.8896
2017,94-183d,1297,0.0861
2017,184-365d,99,0.0066
2017,>365d,229,0.0152
2018,no filing,24,0.0016
2018,0-93d,13506,0.898
2018,94-183d,1216,0.0809
2018,184-365d,84,0.0056
2018,>365d,210,0.014
2019,no filing,21,0.0014
2019,0-93d,13268,0.8874
2019,94-183d,1381,0.0924
2019,184-365d,70,0.0047
2019,>365d,211,0.0141
2020,no filing,28,0.0018
2020,0-93d,13570,0.8932
2020,94-183d,1277,0.0841
2020,184-365d,97,0.0064
2020,>365d,221,0.0145
2021,no filing,23,0.0013
2021,0-93d,15921,0.9016
2021,94-183d,1461,0.0827
2021,184-365d,53,0.003
2021,>365d,201,0.0114
2022,no filing,16,0.0009
2022,0-93d,16843,0.9146
2022,94-183d,1483,0.0805
2022,184-365d,42,0.0023
2022,>365d,31,0.0017
2023,no filing,13,0.0008
2023,0-93d,15372,0.9032
2023,94-183d,1556,0.0914
2023,184-365d,60,0.0035
2023,>365d,18,0.0011
2024,no filing,13,0.0008
2024,0-93d,14167,0.9007
2024,94-183d,1454,0.0924
2024,184-365d,79,0.005
2024,>365d,16,0.001
2025,no filing,21,0.0014
2025,0-93d,13697,0.9075
2025,94-183d,1314,0.0871
2025,184-365d,38,0.0025
2025,>365d,23,0.0015
2026,no filing,19,0.0017
2026,0-93d,10183,0.8937
2026,94-183d,1155,0.1014
2026,184-365d,23,0.002
2026,>365d,14,0.0012
